,coefficient
LA_embed_0,1.1969382709700164e+16
centroid_y,-1.1373397304661682e+16
LA_embed_1,-8703872792540083.0
LA_embed_2,-8198173850229899.0
CoL_distance_km,-7089898141168362.0
LA_embed_3,5074026893872030.0
area_km2,4695921770517903.0
centroid_x,1516887322483362.0
LA_embed_4,571005665958546.6
stl_trend_lag1,182646.71261718284
stl_trend_lag4,95814.89481157235
stl_trend_lag3,-74479.19219766812
stl_trend_lag2,-28874.459003472362
stl_trend_lag5,-23117.7689521421
stl_trend_lag6,-9561.71015709782
stl_seasonal_lag1,8977.590432204612
stl_resid_lag1,4814.691925447426
LA_FE,4637.0992552517855
stl_seasonal_lag3,-4369.411741426847
stl_seasonal_lag4,4016.4569183715357
stl_trend_lag12,-2568.595782239881
stl_resid_lag3,-2416.3955630187365
stl_resid_lag4,2387.9228013809166
population,1285.5600974754957
GDP,860.3119424063223
stl_seasonal_lag6,-792.3072756603982
stl_seasonal_lag2,-667.8257480122417
stl_seasonal_lag5,-628.7274526024918
Region_North East,-603.470525894452
stl_resid_lag2,-591.5930961040688
stl_resid_lag5,-569.7499431270269
claimant_count_prop,523.5252966775201
AvgNeighbourPrice_lag1,490.255398708534
stl_resid_lag6,-477.9486251995607
base_rate,-471.9050741071978
ashe_weekly,470.26495701790054
planning_decisions_per_1000,424.0314248518286
stl_seasonal_lag12,-395.4651068422782
CPIH,-358.5616814383963
stl_resid_lag12,-290.85876397180965
Region_West Midlands,-255.57339463515913
dwelling_stock_per_1000,-222.40169411044735
sdlt_perc_threshold,210.95034884982334
Region_Yorkshire and The Humber,-192.242994733203
Region_London,169.83605688599314
Region_South East,-168.06491469607863
LMIQuadrantlag1_2.0,148.89548016017096
Region_North West,-127.845740334947
Region_South West,-114.43185764733947
planning_granted_prop,112.582103731713
local_I_lag1,102.95394936961124
LMIQuadrantlag1_3.0,88.72406270297552
rail_station_entry_exit,85.3027051275665
Region_East of England,-36.55341270728251
LMIQuadrantlag1_4.0,21.872880748651458
