model_type,WINDOW,CNN_CHANNELS,KERNEL_SIZE,LSTM_HIDDEN,DROPOUT,LR,WEIGHT_DECAY,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
CNNLSTM,12,32,5,64,0.3,0.0005,0.0001,5,11630.576953125,3837.336295559516,16243.6470703125,4126.1079684856595,4.7315949440002445,1.8354667496980699,0.11448626220226288,0.02553904734545183
CNNLSTM,12,16,3,64,0.0,0.0005,0.0001,5,11410.609375,4888.070881778959,16252.8419921875,5056.6759433661055,4.666224479675293,2.6586202922354842,0.11186071634292602,0.03691291727054115
CNNLSTM,12,32,5,64,0.0,0.001,0.0,5,12613.315625,5590.224365026844,17169.0748046875,5062.40427640951,5.135160875320435,2.4175273938837227,0.1264265686273575,0.0501435506529404
CNNLSTM,12,16,3,64,0.0,0.001,0.0,5,13479.62958984375,7668.093530713325,17750.9353515625,7258.457703384592,5.589193677902221,3.640807027313739,0.132677660882473,0.06620270540876773
CNNLSTM,12,16,5,64,0.3,0.001,0.0,5,12759.26591796875,3778.2602736035574,18142.0671875,4768.69214127354,5.202978944778442,1.6732743790195446,0.12756027281284332,0.03274733320085836
CNNLSTM,12,16,3,64,0.3,0.0005,0.0,5,13344.18837890625,4833.28890606032,18346.7359375,5923.647754954174,5.26668872833252,1.7544931312873733,0.13184879422187806,0.040716547672244155
CNNLSTM,12,16,5,64,0.3,0.001,0.0001,5,12895.1927734375,5745.952174487303,18371.51953125,6801.095181295479,5.006007289886474,2.5032287731404392,0.1276437148451805,0.050907648880206026
CNNLSTM,12,32,3,64,0.0,0.0005,0.0,5,13507.68076171875,6007.4833949419735,18436.7552734375,5496.539596635433,5.381444978713989,2.957214980310564,0.13382301479578018,0.05081947460037707
CNNLSTM,12,16,3,64,0.3,0.001,0.0,5,14101.5865234375,7125.72582280417,18578.5873046875,6662.537025335542,5.750133514404297,3.188887240816824,0.13888007551431655,0.06372590054665936
CNNLSTM,12,32,3,64,0.3,0.0005,0.0001,5,12376.84208984375,4240.332280629136,18604.8904296875,6011.441242844148,5.140270519256592,2.22049584672619,0.12339272350072861,0.03201297727214763
CNNLSTM,12,16,5,64,0.3,0.0005,0.0,5,12474.1158203125,6099.472952713233,18611.0408203125,5774.731943868834,5.364767742156983,3.3963949705720964,0.12311153411865235,0.048948054191457334
CNNLSTM,12,32,3,64,0.3,0.001,0.0,5,13714.48701171875,5452.38876665437,18631.1046875,6111.368103823841,5.414038753509521,2.53114539083403,0.13561666011810303,0.04422171061076399
CNNLSTM,12,16,3,64,0.3,0.001,0.0001,5,14035.773046875,4393.581229806876,18980.672265625,5803.693446601031,5.661649990081787,1.8052782288112719,0.13952707946300508,0.03636260110385821
CNNLSTM,12,16,3,32,0.3,0.0005,0.0001,5,12232.71015625,5940.259913039691,18985.382421875,5594.364018383722,5.158978509902954,3.349626767635495,0.11954996585845948,0.046342797614595296
CNNLSTM,12,16,5,64,0.0,0.0005,0.0,5,12798.78046875,5899.156762192435,19008.3603515625,7415.914635388397,4.91515007019043,2.5705358797690923,0.1264253482222557,0.04973220641731745
CNNLSTM,12,32,5,64,0.3,0.001,0.0,5,13580.0896484375,5948.1420206603,19043.771484375,7104.418276751466,5.4200972557067875,3.0873531286785227,0.13502731919288635,0.05106597427066211
