,perm_imp_mae,std
stl_trend_lag1,136091.38770233418,1248.717384671618
stl_trend_lag12,8394.795548180766,63.118400526718254
LA_FE,3048.4575910373364,68.89896643948873
stl_seasonal_lag1,2804.9910610604898,41.78494649352059
stl_resid_lag1,1645.1177033180836,25.21041299938149
local_I_lag1,228.44874985719906,14.816296304953948
dwelling_stock_per_1000,224.3690131819232,22.86589131554869
AvgNeighbourPrice_lag1,215.74289146586187,7.017173887899481
population,200.3854479175381,24.426388551835892
sdlt_perc_threshold,130.74890494154596,14.605190970136166
rail_station_entry_exit,103.22982809736331,14.801310791493094
CoL_distance_km,94.8221303644411,4.921316273612658
ashe_weekly,48.60366474649027,10.41883140056009
planning_decisions_per_1000,36.38442907388708,4.251675196123973
stl_seasonal_lag12,22.105941601736504,8.853800672684448
LA_embed_0,20.085203986597755,5.174608469047494
CPIH,11.766793903927374,1.359617892302654
centroid_x,11.612170245429388,2.433164824961649
area_km2,7.6071778900309255,1.2050554566104497
LA_embed_3,0.5827543645656078,0.2331376647152848
centroid_y,0.47016927519171076,0.5247778138145273
GDP,0.0,0.0
Region_North East,0.0,0.0
Region_Yorkshire and The Humber,0.0,0.0
Region_West Midlands,0.0,0.0
Region_South West,0.0,0.0
Region_South East,0.0,0.0
Region_North West,0.0,0.0
Region_East of England,0.0,0.0
Region_London,0.0,0.0
LMIQuadrantlag1_4.0,0.0,0.0
LMIQuadrantlag1_3.0,0.0,0.0
LMIQuadrantlag1_2.0,0.0,0.0
base_rate,0.0,0.0
LA_embed_4,-0.06587006816680514,0.11143685445627664
LA_embed_1,-1.0705759485214912,0.5622152723068549
LA_embed_2,-1.5082609690908613,0.4586247014347311
claimant_count_prop,-7.37588953810473,5.852233206567193
planning_granted_prop,-12.09065238888843,8.735616042931891
stl_resid_lag12,-17.05306687245602,4.252890815802827
