model_type,lag_set,params,folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",5,4717.131719174417,1165.8134557079304,9687.75152781401,1700.564603956409,1.5308864887708133,0.5303598242819139,0.1876075415051846,0.047151544562531275
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",5,4717.131719174417,1165.8134557079304,9687.75152781401,1700.564603956409,1.5308864887708133,0.5303598242819139,0.1876075415051846,0.047151544562531275
GradientBoosting,"(1, 2, 3, 12)","{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",5,4646.230297076907,1208.0593535355679,9707.229693419275,2173.618157107082,1.488917240884882,0.5153148699599227,0.18513763626803525,0.05018894026421872
GradientBoosting,"(1, 2, 3, 12)","{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",5,4646.230297076907,1208.0593535355679,9707.229693419275,2173.618157107082,1.488917240884882,0.5153148699599227,0.18513763626803525,0.05018894026421872
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",5,4737.921098021187,1155.840158291358,9724.495476534263,1701.8832194104436,1.537275350921669,0.5273329786079047,0.18844872645650573,0.04682534873212752
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",5,4737.921098021187,1155.840158291358,9724.495476534263,1701.8832194104436,1.537275350921669,0.5273329786079047,0.18844872645650573,0.04682534873212752
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",5,4752.105501508382,1146.1429064959257,9793.449210171148,1947.3170098669675,1.5452956240482554,0.5308002207934187,0.18915840194133388,0.04706337679992842
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 20}",5,4752.105501508382,1146.1429064959257,9793.449210171148,1947.3170098669675,1.5452956240482554,0.5308002207934187,0.18915840194133388,0.04706337679992842
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",5,4752.906414915435,1145.4835417769443,9798.867528438943,1942.3292649005812,1.5454098793768434,0.5307236176229115,0.18918933173495656,0.047035720678415584
GradientBoosting,"(1, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 63, 'min_samples_leaf': 20}",5,4752.906414915435,1145.4835417769443,9798.867528438943,1942.3292649005812,1.5454098793768434,0.5307236176229115,0.18918933173495656,0.047035720678415584
GradientBoosting,"(1, 2, 12, 24)","{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",5,4693.463125687914,1385.5565465872814,9833.668048922296,1266.5086094756034,1.5132393881593011,0.5945843868424747,0.1770687435337735,0.061322987681286016
GradientBoosting,"(1, 2, 12, 24)","{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 20}",5,4693.463125687914,1385.5565465872814,9833.668048922296,1266.5086094756034,1.5132393881593011,0.5945843868424747,0.1770687435337735,0.061322987681286016
GradientBoosting,"(1, 2, 3, 4, 5, 6, 12)","{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",5,4654.506803277693,1163.2473794052996,9855.33955147745,2086.8618118016225,1.4890569925179542,0.49872939848040665,0.18545782285321746,0.04851104351880659
GradientBoosting,"(1, 2, 3, 4, 5, 6, 12)","{'l2_regularization': 0.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",5,4654.506803277693,1163.2473794052996,9855.33955147745,2086.8618118016225,1.4890569925179542,0.49872939848040665,0.18545782285321746,0.04851104351880659
GradientBoosting,"(1, 2, 3, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",5,4749.702168071518,1196.0931644430361,9869.750951411095,2018.5690853711947,1.5291801056666214,0.5270558710153525,0.1892004857839847,0.04956915082315314
GradientBoosting,"(1, 2, 3, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",5,4749.702168071518,1196.0931644430361,9869.750951411095,2018.5690853711947,1.5291801056666214,0.5270558710153525,0.1892004857839847,0.04956915082315314
GradientBoosting,"(1, 2, 12, 24)","{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 63, 'min_samples_leaf': 20}",5,4710.8113163991065,1376.0396842376722,9869.910475530978,1241.8384268467796,1.5175979629435763,0.5922665405693254,0.17768897924935395,0.06096526203414933
GradientBoosting,"(1, 2, 12, 24)","{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",5,4710.8113163991065,1376.0396842376722,9869.910475530978,1241.8384268467796,1.5175979629435763,0.5922665405693254,0.17768897924935395,0.06096526203414933
GradientBoosting,"(1, 12, 24)","{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 20}",5,4699.081093430591,1424.3522170973554,9870.600613544902,1281.889440440144,1.5121758474681883,0.6049387911255799,0.17721367053721396,0.06251632984827235
GradientBoosting,"(1, 12, 24)","{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",5,4699.081093430591,1424.3522170973554,9870.600613544902,1281.889440440144,1.5121758474681883,0.6049387911255799,0.17721367053721396,0.06251632984827235
GradientBoosting,"(1, 2, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",5,4802.0731424791,1240.7982862523236,9876.658355540214,1907.3337928682713,1.5545462746051615,0.5461417989566898,0.19111357574875976,0.05061158919917714
GradientBoosting,"(1, 2, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 600, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",5,4802.0731424791,1240.7982862523236,9876.658355540214,1907.3337928682713,1.5545462746051615,0.5461417989566898,0.19111357574875976,0.05061158919917714
GradientBoosting,"(1, 2, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 63, 'min_samples_leaf': 50}",5,4820.934176329728,1225.443438118827,9895.348126848236,1889.707295810798,1.560572754150979,0.5419894775205911,0.19184195397213957,0.04996801356851019
GradientBoosting,"(1, 2, 12)","{'l2_regularization': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'max_iter': 300, 'max_leaf_nodes': 31, 'min_samples_leaf': 50}",5,4820.934176329728,1225.443438118827,9895.348126848236,1889.707295810798,1.560572754150979,0.5419894775205911,0.19184195397213957,0.04996801356851019
