model_type,lag_set,params,folds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",5,11697.59831,2074.377405,17883.03593,1621.856904,4.27955977,1.089636811,0.881851976,0.1563829
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",5,11706.07361,2056.568926,17926.38848,1642.313267,4.281233963,1.08257294,0.882271124,0.153899825
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",5,11813.90515,2078.723718,17998.82741,1647.805442,4.306144628,1.078621544,0.890609115,0.156679723
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",5,11883.33283,2070.883367,18042.58725,1662.561716,4.313131218,1.081829058,0.895927716,0.156626784
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 250}",5,11849.01518,1965.816983,18055.93595,1657.148963,4.33696537,1.04272704,0.893389486,0.1490511
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",5,11809.50914,1972.623227,18078.4037,1735.042955,4.311156115,1.034614807,0.8903149,0.14895377
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",5,11762.55662,2003.229378,18089.43009,1668.212609,4.281064392,1.052582475,0.886703254,0.150852496
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 250}",5,11814.97093,2005.472095,18203.61605,1762.762923,4.296187714,1.043717321,0.890561065,0.150410682
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 500}",5,11812.91906,2034.261641,18398.18231,1821.509181,4.294658655,1.067034974,0.890512871,0.153195439
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 500}",5,11812.91906,2034.261641,18398.18231,1821.509181,4.294658655,1.067034974,0.890512871,0.153195439
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 250}",5,11896.6103,2043.407074,18480.46967,1830.877511,4.317736805,1.074613972,0.896813887,0.153773169
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 250}",5,11896.6103,2043.407074,18480.46967,1830.877511,4.317736805,1.074613972,0.896813887,0.153773169
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",5,12286.47242,2136.902549,18520.43835,1440.115541,4.451203299,1.207297556,0.926456912,0.162268324
RandomForest,"(1, 12, 24)","{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",5,12256.1851,2148.642253,18522.89547,1426.415527,4.441805948,1.218555978,0.924089625,0.162710138
