cfg_id,model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,GATE_INIT,K_DIST,SIGMA_KM,K_CORR,HUBER_BETA,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
1,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.001,0.0,0.85,8,,8,1.0,5,18179.3697265625,4165.091923583516,36709.784765625,12886.390810687082,6.2536922842264175,1.6718959096100399,0.18815040043347062,0.05087534037331653
2,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.001,0.0,0.85,8,,8,1.0,5,19058.6302734375,4174.13750241029,35096.899609375,9633.254026188999,6.731754839420319,1.789831173718463,0.19565423054081704,0.04783437145286611
3,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.001,0.0001,0.85,8,,8,1.0,5,18957.928125,3443.7466954636466,37452.18828125,13397.130846926408,6.60403311252594,1.562838498073567,0.19557146605719175,0.04626089125883245
4,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.001,0.0001,0.85,8,,8,1.0,5,18103.861328125,2724.3151975049377,33188.503515625,10132.321794927395,6.418597847223282,0.9602171114021146,0.18765654602331194,0.043220655372232394
5,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.001,0.0,0.85,8,60.0,8,1.0,5,19844.5765625,4281.150870271757,36906.907421875,10002.580934552947,6.8098535388708115,1.601640586556247,0.20215357692330221,0.042225566793096934
6,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.001,0.0,0.85,8,60.0,8,1.0,5,18546.3767578125,3361.78391616417,35439.46328125,9999.05934186021,6.471254900097847,1.451371948723188,0.1908493031693983,0.04316540277182888
7,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.001,0.0001,0.85,8,60.0,8,1.0,5,19155.033984375,3621.027012892675,35599.43828125,10563.798162635776,6.7522624880075455,1.6631886253463228,0.19648181869279865,0.04184988929572314
8,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.001,0.0001,0.85,8,60.0,8,1.0,5,20168.5744140625,5080.320611783484,36021.135546875,12608.894650698769,7.179386988282204,2.0201154820962732,0.20873912912504483,0.05930046453270935
9,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.0005,0.0,0.85,8,,8,1.0,5,18132.6732421875,4367.74727165865,32450.0640625,9441.905222249161,6.609425395727158,2.042279763910204,0.1877430222704206,0.05398741077508621
10,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.0005,0.0,0.85,8,,8,1.0,5,19761.86484375,2726.70216889971,33117.531640625,8099.013922800912,7.171043306589127,1.1349674135990695,0.20310441811773505,0.03752265862440913
11,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.0005,0.0001,0.85,8,,8,1.0,5,19428.6392578125,4495.3102738983125,36130.9875,10987.188585932267,6.860637739300728,2.019174733841586,0.20055285472308668,0.055138399874862035
12,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.0005,0.0001,0.85,8,,8,1.0,5,17477.08515625,2805.007089701065,29813.0953125,9984.664967913337,6.196427270770073,0.7724417346196363,0.1824732659861677,0.04916143212709566
13,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.0005,0.0,0.85,8,60.0,8,1.0,5,18761.9369140625,4229.613052154205,37286.301953125,13644.74538053183,6.499163508415222,1.7100027842310894,0.19397289082679753,0.05270984163986838
14,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.0005,0.0,0.85,8,60.0,8,1.0,5,17800.5287109375,4330.326875734159,30485.008984375,9318.675409995732,6.45020954310894,1.6758389509368445,0.18624110961739923,0.05924041698046751
15,TGCN_C1_GATED_IMPROVED,12,64,0.0,0.0005,0.0001,0.85,8,60.0,8,1.0,5,18475.896484375,3628.8200781679557,34929.446484375,9995.724005436972,6.510582342743874,1.6436714510091033,0.19063718493308407,0.04756176012482478
16,TGCN_C1_GATED_IMPROVED,18,64,0.0,0.0005,0.0001,0.85,8,60.0,8,1.0,5,18237.28046875,2107.8692637858726,31867.1625,7397.73117034996,6.549231857061386,0.8215628758074013,0.18899622604078375,0.039720760961713925
