model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,GATE_INIT,K_DIST,SIGMA_KM,K_CORR,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
TGCN_C1_GATED,12,128,0.0,0.001,0.0001,0.8,8,60.0,8,5,36830.715625,4010.10147845276,59236.553125,4503.950243742883,13.162822425365448,1.781024714531614,0.3754459918884881,0.04072754753437916
TGCN_C1_GATED,18,128,0.0,0.001,0.0001,0.8,8,60.0,8,5,37352.60703125,3649.535078790785,59886.1421875,4123.667246691414,13.402435183525085,1.232358118183422,0.3808362202195944,0.04010883653926827
TGCN_C1_GATED,12,64,0.0,0.001,0.0001,0.8,8,60.0,8,5,36777.57578125,2896.0810857291976,60002.41640625,2959.8877243817956,12.99214631319046,0.978746384320794,0.3765156837668589,0.048740893152254244
TGCN_C1_GATED,18,64,0.0,0.001,0.0,0.8,8,60.0,8,5,38340.03125,3862.9558637514547,60609.84296875,3911.8370178849004,14.135634303092957,2.4361417704851243,0.3944717443686317,0.06997263866465675
TGCN_C1_GATED,18,64,0.0,0.001,0.0001,0.8,8,60.0,8,5,37718.71640625,3421.8123290463523,60782.46875,3686.1566313848216,13.694644123315811,1.9290067602171914,0.3859485287913708,0.050697728419147325
TGCN_C1_GATED,18,128,0.3,0.001,0.0,0.8,8,60.0,8,5,36984.87734375,4430.957284936863,60899.23125,4285.4826076522,13.176416903734207,2.113140777882492,0.3774940505526635,0.048192060875406034
TGCN_C1_GATED,18,128,0.0,0.001,0.0,0.8,8,60.0,8,5,38396.16328125,4986.834801462878,60917.91171875,6591.484046459695,13.89357477426529,2.2234747262853074,0.3910941272876343,0.049174340789254006
TGCN_C1_GATED,18,128,0.0,0.001,0.0,0.8,8,,8,5,39233.03359375,4565.630107020373,60923.965625,6023.894054499666,14.383454620838165,2.023959826740944,0.3993622935790403,0.04231015645593361
TGCN_C1_GATED,12,128,0.3,0.001,0.0,0.8,8,60.0,8,5,37008.53046875,3318.267073821516,61063.571875,4212.959323400819,13.161221295595169,1.6690024986881278,0.3805575224205119,0.06373169263535895
TGCN_C1_GATED,12,128,0.0,0.001,0.0001,0.8,8,,8,5,38380.8421875,3165.6520874186226,61135.0125,4099.52336275406,13.715430051088333,1.225743112088588,0.39314244458875997,0.05365732619621459
TGCN_C1_GATED,18,128,0.0,0.0005,0.0001,0.8,8,60.0,8,5,37452.5625,2739.237438380113,61167.58359375,2648.174369146008,13.200703412294388,1.0696279474502448,0.38343962793331726,0.047910064479016176
TGCN_C1_GATED,12,128,0.0,0.001,0.0,0.8,8,,8,5,39559.67890625,3970.4772226684236,61238.975,7065.562757478569,14.410445988178253,1.2644827681134068,0.4045000188856629,0.055560678367298534
TGCN_C1_GATED,12,128,0.3,0.001,0.0001,0.8,8,60.0,8,5,37460.36796875,3360.9939727405917,61334.11875,4258.282136225879,13.478024303913116,1.9032118615598437,0.3859472684361008,0.06906447776763365
TGCN_C1_GATED,12,128,0.0,0.001,0.0,0.8,8,60.0,8,5,39416.30234375,5166.945694661599,61452.7546875,6939.727622049271,14.322813600301743,2.15876574946468,0.4045478742616765,0.07766188630943383
TGCN_C1_GATED,18,128,0.3,0.001,0.0001,0.8,8,60.0,8,5,37233.108203125,3509.642171957926,61508.55,4817.579202460631,13.385345339775085,1.9144288506058005,0.38298481349070834,0.06643674744660966
TGCN_C1_GATED,12,128,0.0,0.0005,0.0,0.8,8,60.0,8,5,38563.5734375,3148.029544874319,61610.9828125,2476.421788683731,13.828386664390564,1.0155176185362231,0.3938536664266794,0.04231246797088622
TGCN_C1_GATED,12,64,0.3,0.001,0.0001,0.8,8,60.0,8,5,37062.416015625,4173.284410988544,61636.91328125,2907.1895358391203,13.326180875301361,2.1839179215883875,0.37756089212844796,0.040074945461414345
TGCN_C1_GATED,12,128,0.3,0.001,0.0001,0.8,8,,8,5,38221.77734375,3603.6139407760197,61688.41328125,3304.215744506572,13.66510808467865,1.567845152022773,0.3899412272155587,0.04043039499619271
TGCN_C1_GATED,18,128,0.0,0.001,0.0001,0.8,8,,8,5,39048.37109375,3456.2365619997227,61774.3421875,5795.071416366864,14.039419293403625,1.5857688519025281,0.40060790780704786,0.060809198266339126
TGCN_C1_GATED,18,64,0.0,0.001,0.0001,0.8,8,,8,5,39551.046875,3838.4181831205865,61818.93359375,3432.1400526311922,14.453231394290924,1.2925866079818826,0.4028559557553531,0.03732126066765317
TGCN_C1_GATED,12,128,0.3,0.0005,0.0001,0.8,8,60.0,8,5,38123.6875,3920.065598675448,61851.8015625,2963.354125299974,13.580819815397263,1.1945652488782275,0.38832791332658373,0.0391955981888531
TGCN_C1_GATED,12,128,0.3,0.001,0.0,0.8,8,,8,5,38452.50390625,2908.3462019843723,61915.453125,2653.3090972492546,13.779181838035583,1.1098953471397277,0.3931904120708139,0.04528565912615878
