feature,perm_imp_mae,std
price_lag1,7373.6039062499985,70.39825840443038
sdlt_perc_threshold,4101.874218750003,32.03734254176947
ashe_weekly,3468.1703124999985,13.44270511469999
price_lag12,2438.1312499999985,22.05111562800062
base_rate,752.6617187500015,14.992654777110856
area_km2,750.3101562500015,7.9196320943441325
CPIH,627.90625,17.145376292827645
dwelling_stock_per_1000,615.09375,17.710898213454442
LA_embed_0,561.2078124999971,9.13500074030597
planning_decisions_per_1000,284.67734375000146,6.926061093119595
GDP,173.13906249999854,1.8878750662120096
Region_East of England,140.99062499999854,4.840905540813425
Region_South East,114.37109375,4.184732644349875
population,111.30546874999709,30.39715510659211
Region_Yorkshire and The Humber,55.411718750001455,1.9722324730452987
LA_embed_2,-2.4765625,27.141403427776112
LA_embed_3,-18.739843750001455,10.87437885483652
CoL_distance_km,-39.30781250000291,6.892260559151429
claimant_count_prop,-78.78984374999709,9.20336819235134
Region_South West,-219.20546874999854,8.855322320414853
Region_North East,-277.9148437499971,1.2415249805556674
centroid_x,-313.1789062500029,4.923148644731845
Region_London,-321.90859374999854,7.620442653824932
centroid_y,-531.67578125,6.511217502828532
LA_embed_4,-558.84375,24.880585899200604
Region_West Midlands,-619.9585937500015,19.853384195488484
rail_station_entry_exit,-1002.1937499999985,15.526727012122818
planning_granted_prop,-1380.254687499997,31.246359397311192
Region_North West,-1415.507031250003,24.13949157937958
LA_embed_1,-1860.124218750003,6.229149007952953
LA_FE,-2646.043749999997,67.35410694721035
