AreaCode,dist_degree,corr_degree
E06000001,1.1087226,0.9040494
E06000002,0.9051798,0.9040494
E06000003,0.9051798,1.0267481
E06000004,0.96413827,0.92902684
E06000005,1.1087226,1.0000584
E06000006,0.97286344,1.123792
E06000007,1.1015108,1.3655914
E06000008,1.0238898,0.83135414
E06000009,1.0203233,0.9918211
E06000010,0.94444185,0.72394633
E06000011,0.94872063,1.4936512
E06000012,0.9467938,0.8927968
E06000013,1.036098,1.0076699
E06000014,0.93953645,0.8900696
E06000015,0.97297674,0.8469064
E06000016,0.9740222,0.92640185
E06000017,0.98273516,0.7365067
E06000018,0.9968336,1.3533186
E06000019,0.8997836,0.81803167
E06000020,0.9753723,1.0334989
E06000021,0.9566047,0.99654573
E06000022,0.9982074,0.8948065
E06000023,0.93190765,1.1279895
E06000024,0.93190765,1.2025164
E06000025,0.971791,1.502298
E06000026,0.9312809,0.916033
E06000027,1.0330677,0.91124326
E06000030,0.9845631,0.8185633
E06000031,1.0022665,0.9875813
E06000032,1.0260695,0.7850679
E06000033,1.135226,1.1067109
E06000034,1.0133249,1.0702443
E06000035,1.0261687,1.3139353
E06000036,0.99396026,0.8424891
E06000037,1.0151657,1.046883
E06000038,1.051575,0.89511347
E06000039,0.9465333,0.8780269
E06000040,0.94247425,0.84172976
E06000041,1.0386833,1.2295139
E06000042,0.9905669,0.91691905
E06000043,0.96738166,1.1622632
E06000044,1.0234731,0.9246153
E06000045,1.0286306,0.8438946
E06000047,1.1574788,0.9040494
E06000049,0.9436454,0.99244493
E06000050,0.98515767,1.1569958
E06000051,0.91274285,1.1908827
E06000052,0.93618643,1.0047028
E06000054,1.0509698,0.96613145
E06000055,0.9764448,1.2925574
E06000056,0.9414288,1.0095283
E06000057,0.95331967,1.042365
E06000058,0.931281,1.2823743
E06000059,0.9453707,0.91002357
E06000060,0.9666594,1.4076536
E06000061,0.94599736,1.4596351
E06000062,0.94679374,1.32262
E06000063,0.9290484,0.90642047
E06000064,0.9111838,0.748904
E06000065,0.93638813,1.266617
E06000066,1.0028611,1.8552998
E07000008,0.9805039,1.100419
E07000009,0.95027614,0.8473497
E07000010,0.955978,0.9016867
E07000011,1.011574,0.9827127
E07000012,1.03022,0.945726
E07000032,1.1075385,0.9956933
E07000033,1.0679022,0.72508085
E07000034,1.0331125,0.71294624
E07000035,0.9674419,0.8443132
E07000036,0.97297674,1.1014391
E07000037,0.9968573,0.6718112
E07000038,0.88887066,0.66233766
E07000039,0.93224174,0.8411391
E07000040,0.9780814,0.8351611
E07000041,1.0803742,0.9081776
E07000042,1.0279102,0.788076
E07000043,0.97808135,0.7539619
E07000044,0.9834906,0.78475785
E07000045,1.0330677,0.84382737
E07000046,0.9834907,0.7367091
E07000047,1.0330677,0.7045872
E07000061,0.9673816,0.8260222
E07000062,0.9472423,0.88594025
E07000063,1.0054445,0.86864805
E07000064,0.9472423,0.8611194
E07000065,0.9544224,0.7430016
E07000066,0.9747591,1.2115502
E07000067,0.9750947,1.1042793
E07000068,0.9230174,0.7477479
E07000069,0.9708888,1.0875564
E07000070,1.0367498,1.084856
E07000071,0.9508972,0.917221
E07000072,1.0040598,0.8402304
E07000073,1.042876,0.90032005
E07000074,1.004839,0.75796926
E07000075,1.033734,0.77941996
E07000076,0.9596101,0.81504834
E07000077,0.95766884,0.93152344
E07000078,1.1077929,0.881551
E07000079,0.96232265,0.8627989
E07000080,1.0746319,0.7087617
E07000081,1.066678,1.108235
E07000082,1.0263498,0.74143505
E07000083,0.9576689,0.7575015
E07000084,0.9418797,0.9026361
E07000085,1.005571,0.86942035
E07000086,0.97342765,1.1622555
E07000087,1.019036,1.0539143
E07000088,1.0234731,0.74069947
E07000089,0.9933933,0.81635666
E07000090,0.97342765,1.2549727
E07000091,0.9788369,0.894507
E07000092,1.0436212,0.89044106
E07000093,1.0286306,0.84145665
E07000094,1.0669398,0.81850934
E07000095,0.99319357,0.80143785
E07000096,0.99194086,1.3732029
E07000098,0.9093872,1.0629028
E07000099,1.066299,1.0227476
E07000102,1.0325016,0.8601744
E07000103,1.0146607,0.7223953
E07000105,0.99532926,0.88049126
E07000106,0.9117553,0.8616629
E07000107,0.96519744,0.87294966
E07000108,0.9117553,1.0712588
E07000109,1.0176835,0.83074486
E07000110,1.1991036,0.8075592
E07000111,0.9735049,0.8772116
E07000112,0.99532926,0.92277396
E07000113,1.0433089,0.7577924
E07000114,0.9117553,1.1492648
E07000115,0.9423052,0.9858734
E07000116,1.0347608,1.0050769
E07000117,0.93032795,0.97425467
E07000118,1.0209217,0.8908991
E07000119,0.9505926,0.86181414
E07000120,1.0632641,1.0487548
E07000121,1.0213457,0.8021765
E07000122,0.94402456,0.79333276
E07000123,0.99957335,1.028242
E07000124,0.96172804,0.7417418
E07000125,0.9662199,0.7767761
E07000126,1.0278964,0.9988205
E07000127,1.0123179,0.7836384
E07000128,1.0130383,1.0980935
E07000129,0.9170216,1.1395253
E07000130,0.978676,1.1650336
E07000131,1.0304848,0.81730866
E07000132,1.051575,1.1453757
E07000133,1.0227528,0.71649015
E07000134,0.9846798,0.76122737
E07000135,1.0687149,0.80311865
E07000136,0.94109184,0.8068893
E07000137,0.99820745,0.75363505
E07000138,1.0736529,0.80460757
E07000139,0.98408526,1.1035588
E07000140,1.0015111,0.8474309
E07000141,1.0284772,0.9216129
E07000142,0.98949444,0.7340357
E07000143,1.0155076,0.87691176
E07000144,0.95932794,0.9891535
E07000145,0.95932794,0.84398496
E07000146,1.0753169,1.0055993
E07000147,0.95932794,0.8226759
E07000148,0.95932794,0.7371093
E07000149,0.95932794,1.1803193
E07000170,1.1278954,1.4026401
E07000171,0.9839811,0.8517821
E07000172,0.9642638,0.86357164
E07000173,0.9378475,1.1840973
E07000174,1.0304648,1.0679462
E07000175,1.0334806,0.658605
E07000176,0.96184134,0.9365952
E07000177,0.96658534,0.7529515
E07000178,0.9467938,0.7827141
E07000179,1.034355,0.85564834
E07000180,0.99355364,0.75304574
E07000181,0.94792426,0.8166246
E07000192,1.0600715,0.71720076
E07000193,0.99880195,0.7318796
E07000194,0.94576555,0.74354225
E07000195,1.0129242,0.7514054
E07000196,0.98879087,0.7835761
E07000197,0.99414825,0.72577095
E07000198,0.9528297,0.6974439
E07000199,1.0453933,0.8309716
E07000200,0.931615,0.73269045
E07000202,1.0436851,0.96351194
E07000203,1.1537765,0.8682897
E07000207,0.98739564,0.9087462
E07000208,1.0151794,1.2317827
E07000209,0.89865315,1.0164753
E07000210,1.0452899,0.8054592
E07000211,0.8868244,1.214524
E07000212,1.0478694,0.78640974
E07000213,1.0446002,0.82250416
E07000214,1.0399158,0.7778574
E07000215,0.9407209,0.80920875
E07000216,1.0164529,0.9274842
E07000217,0.9519427,1.0765383
E07000218,0.98693675,0.7463497
E07000219,1.002988,1.0578241
E07000220,1.0602183,0.9397323
E07000221,0.97477776,0.8272008
E07000222,0.9579431,0.9895415
E07000223,1.0000354,1.1912886
E07000224,0.9510725,1.0936104
E07000225,0.9875498,0.8279519
E07000226,1.1017544,0.9027163
E07000227,1.0309404,0.849964
E07000228,1.0405351,1.0636125
E07000229,0.94301873,0.8529468
E07000234,0.9830665,1.0027912
E07000235,0.9957031,0.7048334
E07000236,0.99137396,1.2776262
E07000237,0.9530151,0.83998024
E07000238,1.052554,0.8056858
E07000239,1.0485591,0.7514054
E07000240,1.0218214,1.0335941
E07000241,1.0842125,0.77177966
E07000242,0.9620402,1.0469131
E07000243,1.0185521,0.83027333
E07000244,1.0155076,1.2306548
E07000245,0.9845631,1.2409697
E08000001,1.0381385,1.1776423
E08000002,1.140182,1.1684401
E08000003,0.9789645,0.83191305
E08000004,0.9890972,0.84968007
E08000005,1.0852487,0.94425285
E08000006,0.9191062,0.75918144
E08000007,0.9567443,1.3808618
E08000008,0.9466814,1.2203279
E08000009,1.0377605,0.9476704
E08000010,1.0682863,1.3324937
E08000011,0.9715134,1.1017668
E08000012,0.9715134,0.93868756
E08000013,1.0099258,1.060916
E08000014,0.970441,0.8910983
E08000015,0.931615,0.8341743
E08000017,1.1136189,0.91326904
E08000018,1.0013163,1.0963233
E08000021,0.95331967,0.8080413
E08000022,0.90673536,0.8845506
E08000023,1.05777,0.9354834
E08000024,1.05777,1.0267481
E08000025,1.1131423,1.3989087
E08000026,0.9965315,1.239163
E08000027,1.0374396,1.1654236
E08000028,1.0294858,1.2384233
E08000029,0.990807,0.9403501
E08000030,0.97919625,1.2140366
E08000031,1.0379823,0.9028624
E08000032,1.064903,1.1708167
E08000033,0.9890972,0.8339937
E08000034,1.0161883,1.2765839
E08000035,0.9866687,1.3770878
E08000036,1.0265033,1.2946584
E08000037,0.95331967,0.94837856
E08000038,0.9175253,0.92970467
E08000039,0.963556,1.302394
E09000001,1.1066822,0.8795239
E09000002,1.046591,0.89860535
E09000003,0.9873688,1.1419489
E09000004,1.0278964,1.2169441
E09000005,1.0867367,0.8853114
E09000006,0.987131,1.3551018
E09000007,0.976799,0.97148794
E09000008,1.0697597,1.123067
E09000009,0.9648879,1.2049717
E09000010,1.0707953,1.3070529
E09000011,1.0483997,0.8261772
E09000012,0.97317284,0.84852827
E09000013,0.99221456,0.8852776
E09000014,0.9289515,0.97141135
E09000015,0.97475904,1.082089
E09000016,0.9709717,1.4412076
E09000017,0.97965187,1.1382813
E09000018,0.9713445,0.8058354
E09000019,1.011841,1.0373313
E09000020,0.97273654,0.88745016
E09000021,1.0174696,1.2141163
E09000022,0.9938468,1.0619044
E09000023,0.9129021,1.0164845
E09000024,0.9683887,1.0079608
E09000025,0.9506276,0.770184
E09000026,1.0375109,1.3161366
E09000027,1.0523516,1.118094
E09000028,0.98360276,0.910881
E09000029,1.0114739,1.4280947
E09000030,0.98651516,0.734796
E09000031,1.0178565,0.9066011
E09000032,1.0205784,1.0771531
E09000033,1.0613399,0.88745016
