model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,best_val_MSE_scaled,best_val_RMSE_orig,best_epoch,epochs_run,train_time_sec
TGCN,24,32,0.3,0.001,0.0001,inf,inf,-1,6,1.355691909790039
TGCN,12,32,0.3,0.001,0.0,inf,inf,-1,6,0.5785119533538818
TGCN,12,32,0.0,0.0005,0.0,inf,inf,-1,6,0.5712573528289795
TGCN,12,32,0.0,0.001,0.0,inf,inf,-1,6,0.5559980869293213
TGCN,12,64,0.0,0.0005,0.0001,inf,inf,-1,6,0.5383501052856445
TGCN,12,32,0.3,0.0005,0.0001,inf,inf,-1,6,0.5636680126190186
TGCN,24,32,0.3,0.0005,0.0001,inf,inf,-1,6,1.1324987411499023
TGCN,12,64,0.0,0.0005,0.0,inf,inf,-1,6,0.5631513595581055
TGCN,24,64,0.0,0.001,0.0,inf,inf,-1,6,1.003000020980835
TGCN,12,64,0.0,0.001,0.0,inf,inf,-1,6,0.5645012855529785
TGCN,24,64,0.3,0.0005,0.0,inf,inf,-1,6,1.0529778003692627
TGCN,24,64,0.0,0.0005,0.0,inf,inf,-1,6,1.0076186656951904
