model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,best_val_MSE_scaled,best_val_RMSE_orig,best_epoch,epochs_run,train_time_sec
TGCN,24,128,0.0,0.001,0.0,0.2035985141992569,59812.113637354916,49,50,8.32526445388794
TGCN,24,128,0.0,0.001,0.0001,0.21204423904418945,61040.07892296013,50,50,8.873863935470581
TGCN,12,128,0.0,0.001,0.0001,0.2149427831172943,61455.857321489464,50,50,4.522940397262573
TGCN,24,128,0.3,0.001,0.0001,0.21729329228401184,61790.96925900377,50,50,8.73612380027771
TGCN,12,128,0.3,0.001,0.0,0.21890869736671448,62020.227638457174,50,50,4.749818563461304
TGCN,24,128,0.3,0.001,0.0,0.22489683330059052,62862.77054966317,50,50,8.859480142593384
TGCN,24,64,0.0,0.001,0.0,0.22591722011566162,63005.21752863112,50,50,8.801082134246826
TGCN,12,128,0.3,0.001,0.0001,0.2310204952955246,63712.86035033762,50,50,4.674791097640991
TGCN,24,128,0.0,0.0005,0.0,0.23533782362937927,64305.43997756773,50,50,8.586331129074097
TGCN,12,128,0.0,0.001,0.0,0.23549024760723114,64326.26133179758,33,39,3.532966375350952
TGCN,24,128,0.0,0.0005,0.0001,0.23927317559719086,64840.87313679475,50,50,8.380545377731323
TGCN,24,64,0.0,0.001,0.0001,0.24151788651943207,65144.31134140664,50,50,8.640854597091675
TGCN,12,128,0.0,0.0005,0.0001,0.2437044233083725,65438.53281109663,50,50,4.673330307006836
TGCN,12,128,0.3,0.0005,0.0,0.24445265531539917,65538.91194951405,50,50,4.742918491363525
TGCN,12,64,0.0,0.001,0.0,0.24478010833263397,65582.79310992046,50,50,4.401501655578613
TGCN,24,128,0.3,0.0005,0.0001,0.24560761451721191,65693.55451545681,50,50,8.817210912704468
TGCN,24,64,0.3,0.001,0.0,0.2460147589445114,65747.9821628129,50,50,8.926122188568115
TGCN,24,128,0.3,0.0005,0.0,0.24645723402500153,65807.08181731318,50,50,8.817374229431152
TGCN,12,128,0.3,0.0005,0.0001,0.24659563601016998,65825.55673141894,50,50,4.775720596313477
TGCN,12,64,0.0,0.001,0.0001,0.24790574610233307,66000.1836811401,50,50,4.586139678955078
TGCN,12,128,0.0,0.0005,0.0,0.2499091774225235,66266.33476067819,49,50,4.447061777114868
TGCN,24,64,0.3,0.001,0.0001,0.2516559064388275,66497.51430056013,49,50,9.155036211013794
TGCN,12,64,0.3,0.001,0.0001,0.2522578835487366,66576.9999602791,50,50,4.698877811431885
TGCN,12,64,0.3,0.001,0.0,0.25277915596961975,66645.75270498898,49,50,4.88107705116272
TGCN,24,32,0.0,0.001,0.0,0.2592483460903168,67493.1728550258,50,50,9.55072546005249
TGCN,12,64,0.0,0.0005,0.0,0.2672824561595917,68531.00083749877,50,50,4.624723672866821
TGCN,24,32,0.0,0.001,0.0001,0.2677684724330902,68593.27962441614,50,50,9.069717645645142
TGCN,12,32,0.0,0.001,0.0001,0.2726070284843445,69210.2426720631,50,50,4.561084032058716
TGCN,12,32,0.0,0.001,0.0,0.2726956307888031,69221.4890600222,50,50,4.693822383880615
TGCN,12,64,0.0,0.0005,0.0001,0.2738931179046631,69373.30858068206,50,50,4.446732044219971
TGCN,24,64,0.0,0.0005,0.0001,0.275779128074646,69611.74885597081,50,50,8.859920501708984
TGCN,24,64,0.0,0.0005,0.0,0.27584558725357056,69620.13611322346,50,50,8.601533889770508
TGCN,12,64,0.3,0.0005,0.0001,0.27607131004333496,69648.61515828669,50,50,4.835294961929321
TGCN,24,64,0.3,0.0005,0.0001,0.2780520021915436,69898.01795120587,50,50,8.772849798202515
TGCN,24,64,0.3,0.0005,0.0,0.2786443531513214,69972.43232281122,50,50,8.981704235076904
TGCN,12,64,0.3,0.0005,0.0,0.28273701667785645,70484.4285706596,50,50,4.72828221321106
TGCN,24,32,0.3,0.001,0.0,0.2834225594997406,70569.82743364238,50,50,9.504641056060791
TGCN,12,32,0.3,0.001,0.0,0.29119375348091125,71530.76584531365,50,50,5.023104190826416
TGCN,24,32,0.3,0.001,0.0001,0.2916359603404999,71585.0585545497,50,50,9.810888528823853
TGCN,12,32,0.3,0.001,0.0001,0.29935529828071594,72526.26661441555,50,50,5.055063009262085
TGCN,24,32,0.0,0.0005,0.0,0.30500516295433044,73207.47756069413,50,50,9.110753536224365
TGCN,12,32,0.3,0.0005,0.0001,0.3071233630180359,73461.24340474347,50,50,4.95185661315918
TGCN,12,32,0.0,0.0005,0.0,0.3203142285346985,75022.22891855899,50,50,4.724403619766235
TGCN,12,32,0.0,0.0005,0.0001,0.33209842443466187,76389.77928168945,50,50,4.6318535804748535
TGCN,12,32,0.3,0.0005,0.0,0.35271573066711426,78725.28873343146,50,50,4.8856282234191895
TGCN,24,32,0.3,0.0005,0.0,0.35594403743743896,79084.74319989963,50,50,9.317582130432129
TGCN,24,32,0.0,0.0005,0.0001,0.3561772406101227,79110.64585774633,50,50,9.154968976974487
TGCN,24,32,0.3,0.0005,0.0001,0.3641344904899597,79989.45836140595,50,50,9.127559423446655
