model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,best_val_MSE_scaled,best_val_RMSE_orig,best_epoch,epochs_run,train_time_sec
TGCN,24,128,0.0,0.001,0.0,0.14082933962345123,49744.883601684785,50,50,9.697186470031738
TGCN,12,128,0.0,0.001,0.0,0.14826035499572754,51040.43480701525,50,50,5.08035945892334
TGCN,24,128,0.0,0.001,0.0001,0.15106654167175293,51521.202535436976,50,50,9.894144296646118
TGCN,12,128,0.0,0.001,0.0001,0.15713045001029968,52545.07602617824,50,50,5.209026098251343
TGCN,12,64,0.0,0.001,0.0001,0.1744440644979477,55364.316936318064,50,50,5.202457904815674
TGCN,24,64,0.0,0.001,0.0,0.1745426058769226,55379.95205095636,50,50,9.713176250457764
TGCN,24,128,0.3,0.001,0.0001,0.179635688662529,56182.12468234323,49,50,10.374513626098633
TGCN,12,128,0.3,0.001,0.0001,0.180978924036026,56391.78588017287,49,50,5.518142938613892
TGCN,24,64,0.0,0.001,0.0001,0.18315114080905914,56729.200328381,50,50,9.65159010887146
TGCN,12,128,0.3,0.001,0.0,0.18388117849826813,56842.148756747294,50,50,5.407820224761963
TGCN,24,128,0.3,0.001,0.0,0.18589970469474792,57153.28501873505,50,50,10.448484420776367
TGCN,12,64,0.0,0.001,0.0,0.18633240461349487,57219.76131583131,48,50,5.0264410972595215
TGCN,24,128,0.0,0.0005,0.0,0.18771573901176453,57431.76871423711,50,50,9.808903217315674
TGCN,12,128,0.0,0.0005,0.0001,0.18802997469902039,57479.81893372636,50,50,5.185086727142334
TGCN,12,128,0.0,0.0005,0.0,0.19416363537311554,58409.810196634346,50,50,5.160085439682007
TGCN,24,128,0.0,0.0005,0.0001,0.19423426687717438,58420.43318897069,50,50,9.564430713653564
TGCN,24,32,0.0,0.001,0.0,0.20458157360553741,59956.33879432616,50,50,10.15231442451477
TGCN,24,64,0.3,0.001,0.0001,0.20478017628192902,59985.43379215518,50,50,10.342444896697998
TGCN,12,64,0.3,0.001,0.0001,0.20535247027873993,60069.195201400835,50,50,5.544540643692017
TGCN,24,32,0.0,0.001,0.0001,0.20773322880268097,60416.39856263836,50,50,9.938028812408447
TGCN,12,64,0.3,0.001,0.0,0.20927076041698456,60639.57150399786,50,50,5.3959362506866455
TGCN,24,64,0.3,0.001,0.0,0.21061180531978607,60833.55590232441,50,50,10.117961883544922
TGCN,12,128,0.3,0.0005,0.0001,0.2128186970949173,61151.446944855634,50,50,5.568062782287598
TGCN,12,32,0.0,0.001,0.0,0.21293705701828003,61168.44938545127,50,50,5.447689771652222
TGCN,24,128,0.3,0.0005,0.0,0.21364076435565948,61269.439750233025,50,50,10.407534122467041
TGCN,12,32,0.0,0.001,0.0001,0.21417303383350372,61345.7163109997,50,50,5.3832690715789795
TGCN,12,128,0.3,0.0005,0.0,0.21529260277748108,61505.84673431832,50,50,5.556687116622925
TGCN,24,128,0.3,0.0005,0.0001,0.22119486331939697,62343.23961564549,50,50,10.507641792297363
TGCN,24,64,0.0,0.0005,0.0001,0.2250804454088211,62888.42678222003,50,50,9.545304536819458
TGCN,12,64,0.0,0.0005,0.0,0.22544819116592407,62939.78067336779,50,50,5.186976194381714
TGCN,12,64,0.0,0.0005,0.0001,0.22983691096305847,63549.44113164236,50,50,5.278038740158081
TGCN,24,64,0.0,0.0005,0.0,0.23086054623126984,63690.80045275914,50,50,9.336784362792969
TGCN,24,32,0.3,0.001,0.0,0.23559823632240295,64341.00868163729,50,50,10.22005033493042
TGCN,12,64,0.3,0.0005,0.0,0.2375500351190567,64606.97349895227,50,50,5.451590061187744
TGCN,24,64,0.3,0.0005,0.0001,0.23892392218112946,64793.533592454885,50,50,10.684016466140747
TGCN,24,64,0.3,0.0005,0.0,0.24017038941383362,64962.32781446616,50,50,10.213862657546997
TGCN,24,32,0.3,0.001,0.0001,0.24662943184375763,65830.06726003408,50,50,10.509390592575073
TGCN,12,64,0.3,0.0005,0.0001,0.2474697381258011,65942.11872913316,50,50,5.68021559715271
TGCN,24,32,0.0,0.0005,0.0,0.24942293763160706,66201.83729535283,50,50,9.859987258911133
TGCN,12,32,0.3,0.001,0.0001,0.24966773390769958,66234.31624257093,50,50,5.211946964263916
TGCN,12,32,0.3,0.001,0.0,0.25900134444236755,67461.01277008126,50,50,5.205376863479614
TGCN,12,32,0.0,0.0005,0.0,0.2678763270378113,68607.09259532331,50,50,5.310614824295044
TGCN,12,32,0.0,0.0005,0.0001,0.2816234230995178,70345.4859463696,50,50,5.1889941692352295
TGCN,24,32,0.3,0.0005,0.0001,0.28524816036224365,70796.74222583137,50,50,10.701890468597412
TGCN,12,32,0.3,0.0005,0.0,0.288786381483078,71234.47077196129,50,50,5.71832275390625
TGCN,12,32,0.3,0.0005,0.0001,0.2994745373725891,72540.70949420673,50,50,5.773941993713379
TGCN,24,32,0.0,0.0005,0.0001,0.3015175461769104,72787.72450160846,50,50,10.122987985610962
TGCN,24,32,0.3,0.0005,0.0,0.3108925521373749,73910.64744053551,50,50,10.721510648727417
