model_type,WINDOW,HIDDEN_DIM,DROPOUT,LR,WEIGHT_DECAY,folds_used,MAE_mean,MAE_std,RMSE_mean,RMSE_std,sMAPE_mean,sMAPE_std,MASE_mean,MASE_std
TGCN,12,128,0.0,0.001,0.0001,5,31585.439453125,4747.08813263521,51136.015625,8855.858107887258,11.123261004686356,1.8049360457781662,0.32229566108842894,0.04958052613166219
TGCN,12,128,0.0,0.001,0.0,5,33164.6859375,6856.974198381187,51528.734375,8811.925457339988,12.013594955205917,3.101401835153373,0.3371492819888118,0.06121685811250345
TGCN,12,64,0.0,0.001,0.0001,5,31994.175,4234.10705205444,53840.090625,7297.475426304518,11.29942461848259,1.5820610766256211,0.3277719697615238,0.05443261995643691
TGCN,12,128,0.0,0.0005,0.0,5,32511.047265625,2493.2377479118,54850.3875,3975.117334102428,11.513935327529907,1.399721727011089,0.3354766392402254,0.06161172459951613
TGCN,12,64,0.0,0.001,0.0,5,33868.794140625,5915.91704151243,55386.32734375,8242.808544147658,12.398824989795685,2.8450513079593325,0.34508088617356936,0.05464983293730958
TGCN,12,128,0.3,0.001,0.0001,5,32381.198046875,5131.403220904288,56026.5015625,6673.047406023419,11.416298002004623,1.9197246808256565,0.3292784946034552,0.04344395641811241
TGCN,12,128,0.0,0.0005,0.0001,5,35014.296484375,8373.821726782673,57647.24375,8423.757356025768,12.681012600660324,4.053429780677953,0.3557316346466661,0.07305428128698362
TGCN,12,128,0.3,0.001,0.0,5,34670.346484375,8840.613191287694,57862.10546875,10104.589035277817,12.584472596645355,3.848268254402183,0.35047588175839,0.06994717756118785
TGCN,12,64,0.0,0.0005,0.0,5,34671.115234375,2601.0955935495404,60484.45703125,2603.2959104975994,12.175890356302261,1.5404079642160904,0.3574882259827278,0.0621317417276985
TGCN,12,64,0.3,0.001,0.0001,5,34793.21953125,5120.280376187596,60632.15859375,6224.812749213604,12.367699295282364,2.279232274244752,0.35636714474855735,0.062443035740422884
TGCN,12,64,0.0,0.0005,0.0001,5,35685.651953125,5198.439799957165,61947.14140625,4338.170457751073,12.693806290626526,2.1728931085208214,0.36325374634885216,0.04716994357943606
TGCN,12,128,0.3,0.0005,0.0,5,36601.41484375,7245.2642124051345,62275.29765625,8230.782367119202,13.054195195436478,3.3916614344148974,0.3725746564108475,0.06608169044005507
TGCN,12,32,0.0,0.001,0.0001,5,37597.55625,9686.56916631244,62399.3109375,7522.152603805492,13.931521326303482,5.00289072732479,0.382970814089575,0.09254439028375791
TGCN,12,64,0.3,0.001,0.0,5,37667.675,9093.011846114458,63513.1265625,9578.488454751683,13.690934777259827,4.289692827018906,0.38626273748629003,0.1001286779817421
TGCN,12,64,0.3,0.0005,0.0001,5,35814.273046875,4702.087788860952,64093.21640625,5078.9075352105265,12.461770474910736,1.9752256758666773,0.3665970459998409,0.05758824655569497
TGCN,12,128,0.3,0.0005,0.0001,5,39188.389453125,10986.465877296785,64183.83359375,10873.420401104824,14.479304701089859,5.41607220472355,0.3997656909102477,0.10486455658637696
TGCN,12,32,0.0,0.001,0.0,5,36889.453125,4015.1034750276913,65303.86484375,5894.184451224767,12.91450634598732,1.9675867066066297,0.38002919532125523,0.06711405758571196
TGCN,12,64,0.3,0.0005,0.0,5,37723.708203125,10649.019188307842,65698.0890625,9966.602344002093,13.514202982187271,4.730699014388471,0.3811609743219261,0.08620384668079895
TGCN,12,32,0.3,0.001,0.0,5,36398.384375,6872.462868129894,65957.621875,6175.998474819805,12.817227095365524,2.9952811319262436,0.3713441281207032,0.0685602110797285
TGCN,12,32,0.3,0.001,0.0001,5,38305.355078125,10924.611039344401,66821.45390625,9173.315484590303,13.99197906255722,5.204124968889388,0.38802118961321685,0.09373151976545582
TGCN,12,32,0.0,0.0005,0.0,5,37991.86796875,3623.888749755973,68993.6765625,2217.3639163958574,13.08367058634758,2.0559761825375373,0.39239146100296024,0.07490578236200611
TGCN,12,32,0.0,0.0005,0.0001,5,38721.86953125,4907.404624364978,69090.559375,3898.6601444019007,13.81482720375061,2.4979900437990965,0.3968465899169664,0.06256442149961393
TGCN,12,32,0.3,0.0005,0.0,5,38418.534375,4525.783829565525,71065.81328125,5181.6782794348965,13.434546440839767,1.8611267335135007,0.3919839866548702,0.0496578950885712
TGCN,12,32,0.3,0.0005,0.0001,5,40603.284765625,7085.220439596569,72753.615625,6486.725230599407,14.652521461248398,3.2467661582100775,0.4150578718042824,0.07580862744942458
